Date|State|Office|District|Candidate|Party|Votes
11/6/2012|ALABAMA|FOR PRESIDENTIAL ELECTORS|||Republican|1255925
11/6/2012|ALABAMA|FOR PRESIDENTIAL ELECTORS|||Democratic|795696
11/6/2012|ALABAMA|FOR PRESIDENTIAL ELECTORS|||Independent|18706
11/6/2012|ALABAMA|FOR PRESIDENTIAL ELECTORS|||Write-in|4011
11/6/2012|ALABAMA|FOR UNITED STATES REPRESENTATIVE|1|Jo Bonner|Republican|196374
11/6/2012|ALABAMA|FOR UNITED STATES REPRESENTATIVE|1|Write-in||4302
11/6/2012|ALABAMA|FOR UNITED STATES REPRESENTATIVE|2|Martha Roby|Republican|180591
11/6/2012|ALABAMA|FOR UNITED STATES REPRESENTATIVE|2|Therese Ford|Democrat|103092
11/6/2012|ALABAMA|FOR UNITED STATES REPRESENTATIVE|2|Write-in||270
11/6/2012|ALABAMA|FOR UNITED STATES REPRESENTATIVE|3|Mike Rogers|Republican|175306
11/6/2012|ALABAMA|FOR UNITED STATES REPRESENTATIVE|3|John Andrew Harris|Democrat|98141
11/6/2012|ALABAMA|FOR UNITED STATES REPRESENTATIVE|3|Write-in||483
11/6/2012|ALABAMA|FOR UNITED STATES REPRESENTATIVE|4|Robert B. Aderholt|Republican|199071
11/6/2012|ALABAMA|FOR UNITED STATES REPRESENTATIVE|4|Daniel H. Boman|Democrat|69706
11/6/2012|ALABAMA|FOR UNITED STATES REPRESENTATIVE|4|Write-in||341
11/6/2012|ALABAMA|FOR UNITED STATES REPRESENTATIVE|5|Mo Brooks|Republican|189185
11/6/2012|ALABAMA|FOR UNITED STATES REPRESENTATIVE|5|Charlie L. Holley|Democrat|101772
11/6/2012|ALABAMA|FOR UNITED STATES REPRESENTATIVE|5|Write-in||336
11/6/2012|ALABAMA|FOR UNITED STATES REPRESENTATIVE|6|Spencer Bachus|Republican|219262
11/6/2012|ALABAMA|FOR UNITED STATES REPRESENTATIVE|6|Penny H. Bailey|Democrat|88267
11/6/2012|ALABAMA|FOR UNITED STATES REPRESENTATIVE|6|Write-in||573
11/6/2012|ALABAMA|FOR UNITED STATES REPRESENTATIVE|7|Don Chamberlain|Republican|73835
11/6/2012|ALABAMA|FOR UNITED STATES REPRESENTATIVE|7|Terri A. Sewell|Democrat|232520
11/6/2012|ALABAMA|FOR UNITED STATES REPRESENTATIVE|7|Write-in||203
11/6/2012|ALASKA|FOR PRESIDENTIAL ELECTORS|||Republican|164676
11/6/2012|ALASKA|FOR PRESIDENTIAL ELECTORS|||Democratic|122640
11/6/2012|ALASKA|FOR PRESIDENTIAL ELECTORS|||Libertarian|7392
11/6/2012|ALASKA|FOR PRESIDENTIAL ELECTORS|||Green|2917
11/6/2012|ALASKA|FOR PRESIDENTIAL ELECTORS|||Write-in|2870
11/6/2012|ALASKA|FOR UNITED STATES REPRESENTATIVE|AT LARGE|Don Young|Republican|185296
11/6/2012|ALASKA|FOR UNITED STATES REPRESENTATIVE|AT LARGE|Sharon M. Cissna|Democrat|82927
11/6/2012|ALASKA|FOR UNITED STATES REPRESENTATIVE|AT LARGE|Jim C. McDermott|Libertarian|15028
11/6/2012|ALASKA|FOR UNITED STATES REPRESENTATIVE|AT LARGE|Ted Gianoutsos|Nominating Petition|5589
11/6/2012|ALASKA|FOR UNITED STATES REPRESENTATIVE|AT LARGE|Write-in||964
11/6/2012|ARIZONA|FOR PRESIDENTIAL ELECTORS|||Republican|1233654
11/6/2012|ARIZONA|FOR PRESIDENTIAL ELECTORS|||Democratic|1025232
11/6/2012|ARIZONA|FOR PRESIDENTIAL ELECTORS|||Libertarian|32100
11/6/2012|ARIZONA|FOR PRESIDENTIAL ELECTORS|||Green|7816
11/6/2012|ARIZONA|FOR PRESIDENTIAL ELECTORS|||Write-in|452
11/6/2012|ARIZONA|FOR UNITED STATES SENATOR||Jeff Flake|Republican|1104457
11/6/2012|ARIZONA|FOR UNITED STATES SENATOR||Richard Carmona|Democrat|1036542
11/6/2012|ARIZONA|FOR UNITED STATES SENATOR||Marc Victor|Libertarian|102109
11/6/2012|ARIZONA|FOR UNITED STATES SENATOR||Steven Watts|Write-in (Independent)|290
11/6/2012|ARIZONA|FOR UNITED STATES SENATOR||Don Manspeaker|Write-in (Independent)|24
11/6/2012|ARIZONA|FOR UNITED STATES REPRESENTATIVE|1|Jonathan Paton|Republican|113594
11/6/2012|ARIZONA|FOR UNITED STATES REPRESENTATIVE|1|Ann Kirkpatrick|Democrat|122774
11/6/2012|ARIZONA|FOR UNITED STATES REPRESENTATIVE|1|Kim Allen|Libertarian|15227
11/6/2012|ARIZONA|FOR UNITED STATES REPRESENTATIVE|2|Martha McSally|Republican|144884
11/6/2012|ARIZONA|FOR UNITED STATES REPRESENTATIVE|2|Ron Barber|Democrat|147338
11/6/2012|ARIZONA|FOR UNITED STATES REPRESENTATIVE|2|Anthony Prowell|Write-in (Libertarian)|57
11/6/2012|ARIZONA|FOR UNITED STATES REPRESENTATIVE|3|Gabriela Saucedo Mercer|Republican|62663
11/6/2012|ARIZONA|FOR UNITED STATES REPRESENTATIVE|3|Raúl M. Grijalva|Democrat|98468
11/6/2012|ARIZONA|FOR UNITED STATES REPRESENTATIVE|3|Blanca Guerra|Libertarian|7567
11/6/2012|ARIZONA|FOR UNITED STATES REPRESENTATIVE|4|Paul A. Gosar|Republican|162907
11/6/2012|ARIZONA|FOR UNITED STATES REPRESENTATIVE|4|Johnnie Robinson|Democrat|69154
11/6/2012|ARIZONA|FOR UNITED STATES REPRESENTATIVE|4|Joe Pamelia|Libertarian|9306
11/6/2012|ARIZONA|FOR UNITED STATES REPRESENTATIVE|4|Richard Grayson|Americans Elect|2393
11/6/2012|ARIZONA|FOR UNITED STATES REPRESENTATIVE|5|Matt Salmon|Republican|183470
11/6/2012|ARIZONA|FOR UNITED STATES REPRESENTATIVE|5|Spencer Morgan|Democrat|89589
11/6/2012|ARIZONA|FOR UNITED STATES REPRESENTATIVE|6|David Schweikert|Republican|179706
11/6/2012|ARIZONA|FOR UNITED STATES REPRESENTATIVE|6|Matt Jette|Democrat|97666
11/6/2012|ARIZONA|FOR UNITED STATES REPRESENTATIVE|6|Jack Anderson|Libertarian|10167
11/6/2012|ARIZONA|FOR UNITED STATES REPRESENTATIVE|6|Mark Salazar|Green|5637
11/6/2012|ARIZONA|FOR UNITED STATES REPRESENTATIVE|6|James Ketover|Write-in|1
11/6/2012|ARIZONA|FOR UNITED STATES REPRESENTATIVE|7|Ed Pastor|Democrat|104489
11/6/2012|ARIZONA|FOR UNITED STATES REPRESENTATIVE|7|Joe Cobb|Libertarian|23338
11/6/2012|ARIZONA|FOR UNITED STATES REPRESENTATIVE|8|Trent Franks|Republican|172809
11/6/2012|ARIZONA|FOR UNITED STATES REPRESENTATIVE|8|Gene Scharer|Democrat|95635
11/6/2012|ARIZONA|FOR UNITED STATES REPRESENTATIVE|8|Stephen Dolgos|Americans Elect|4347
11/6/2012|ARIZONA|FOR UNITED STATES REPRESENTATIVE|9|Vernon B. Parker|Republican|111630
11/6/2012|ARIZONA|FOR UNITED STATES REPRESENTATIVE|9|Kyrsten Sinema|Democrat|121881
11/6/2012|ARIZONA|FOR UNITED STATES REPRESENTATIVE|9|Powell Gammill|Libertarian|16620
11/6/2012|ARKANSAS|FOR PRESIDENTIAL ELECTORS|||Republican|647744
11/6/2012|ARKANSAS|FOR PRESIDENTIAL ELECTORS|||Democratic|394409
11/6/2012|ARKANSAS|FOR PRESIDENTIAL ELECTORS|||Green|9305
11/6/2012|ARKANSAS|FOR PRESIDENTIAL ELECTORS|||Libertarian|16276
11/6/2012|ARKANSAS|FOR PRESIDENTIAL ELECTORS|||Socialism and Liberation|1734
11/6/2012|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|1|Eric A. "Rick" Crawford|Republican|138800
11/6/2012|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|1|Scott Ellington|Democrat|96601
11/6/2012|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|1|Jacob Holloway|Green|5015
11/6/2012|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|1|Jessica Paxton|Libertarian|6427
11/6/2012|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|2|Tim Griffin|Republican|158175
11/6/2012|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|2|Herb Rule|Democrat|113156
11/6/2012|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|2|Barbara Ward|Green|8566
11/6/2012|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|2|Chris Hayes|Libertarian|6701
11/6/2012|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|3|Steve Womack|Republican|186467
11/6/2012|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|3|Rebekah J. Kennedy|Green|39318
11/6/2012|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|3|David Pangrac|Libertarian|19875
11/6/2012|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|4|Tom Cotton|Republican|154149
11/6/2012|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|4|Gene Jeffress|Democrat|95013
11/6/2012|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|4|J. Joshua Drake|Green|4807
11/6/2012|ARKANSAS|FOR UNITED STATES REPRESENTATIVE|4|Bobby Tullis|Libertarian|4984
11/6/2012|CALIFORNIA|FOR PRESIDENTIAL ELECTORS|||Republican|4839958
11/6/2012|CALIFORNIA|FOR PRESIDENTIAL ELECTORS|||Democratic|7854285
11/6/2012|CALIFORNIA|FOR PRESIDENTIAL ELECTORS|||Libertarian|143221
11/6/2012|CALIFORNIA|FOR PRESIDENTIAL ELECTORS|||Green|85638
11/6/2012|CALIFORNIA|FOR PRESIDENTIAL ELECTORS|||Peace and Freedom|53824
11/6/2012|CALIFORNIA|FOR PRESIDENTIAL ELECTORS|||American Independent|38372
11/6/2012|CALIFORNIA|FOR PRESIDENTIAL ELECTORS|||Write-in|23249
11/6/2012|CALIFORNIA|FOR UNITED STATES SENATOR||Elizabeth Emken|Republican|4713887
11/6/2012|CALIFORNIA|FOR UNITED STATES SENATOR||Dianne Feinstein|Democrat|7864624
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|1|Doug La Malfa|Republican|168827
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|1|Jim Reed|Democrat|125386
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|2|Daniel W. Roberts|Republican|91310
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|2|Jared Huffman|Democrat|226216
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|3|Kim Vann|Republican|107086
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|3|John Garamendi|Democrat|126882
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|4|Tom McClintock|Republican|197803
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|4|Jack Uppal|Democrat|125885
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|5|Randy Loftin|Republican|69545
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|5|Mike Thompson|Democrat|202872
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|6|Joseph McCray, Sr.|Republican|53406
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|6|Doris O. Matsui|Democrat|160667
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|7|Daniel E. Lungren|Republican|132050
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|7|Ami Bera|Democrat|141241
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|8|Paul Cook|Republican|103093
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|8|Gregg Imus|Republican|76551
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|9|Ricky Gill|Republican|94704
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|9|Jerry McNerney|Democrat|118373
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|10|Jeff Denham|Republican|110265
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|10|Jose Hernandez|Democrat|98934
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|11|Virginia Fuller|Republican|87136
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|11|George Miller|Democrat|200743
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|12|John Dennis|Republican|44478
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|12|Nancy Pelosi|Democrat|253709
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|13|Barbara Lee|Democrat|250436
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|13|Marilyn M. Singleton|No Party Preference|38146
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|14|Deborah "Debbie" Bacigalupi|Republican|54455
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|14|Jackie Speier|Democrat|203828
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|15|Eric Swalwell|Democrat|120388
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|15|Fortney Pete Stark|Democrat|110646
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|16|Brian Daniel Whelan|Republican|62801
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|16|Jim Costa|Democrat|84649
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|17|Evelyn Li|Republican|57336
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|17|Michael M. Honda|Democrat|159392
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|18|Dave Chapman|Republican|89103
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|18|Anna G. Eshoo|Democrat|212831
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|19|Robert Murray|Republican|59313
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|19|Zoe Lofgren|Democrat|162300
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|20|Jeff Taylor|Republican|60566
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|20|Sam Farr|Democrat|172996
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|21|David G. Valadao|Republican|67164
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|21|John Hernandez|Democrat|49119
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|22|Devin Nunes|Republican|132386
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|22|Otto Lee|Democrat|81555
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|23|Kevin McCarthy|Republican|158161
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|23|Terry Phillips|No Party Preference|57842
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|24|Abel Maldonado|Republican|127746
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|24|Lois Capps|Democrat|156749
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|25|Howard P. "Buck" McKeon|Republican|129593
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|25|Lee C. Rogers|Democrat|106982
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|26|Tony Strickland|Republican|124863
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|26|Julia Brownley|Democrat|139072
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|27|Jack Orswell|Republican|86817
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|27|Judy Chu|Democrat|154191
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|28|Phil Jennerjahn|Republican|58008
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|28|Adam B. Schiff|Democrat|188703
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|29|Tony Cardenas|Democrat|111287
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|29|David R. Hernandez|No Party Preference|38994
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|30|Brad Sherman|Democrat|149456
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|30|Howard L. Berman|Democrat|98395
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|31|Gary G. Miller|Republican|88964
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|31|Bob Dutton|Republican|72255
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|32|David L. Miller|Republican|65208
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|32|Grace F. Napolitano|Democrat|124903
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|33|Henry A. Waxman|Democrat|171860
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|33|Bill Bloomfield|No Party Preference|146660
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|34|Stephen C. Smith|Republican|20223
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|34|Xavier Becerra|Democrat|120367
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|35|Gloria Negrete McLeod|Democrat|79698
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|35|Joe Baca|Democrat|62982
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|36|Mary Bono Mack|Republican|97953
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|36|Raul Ruiz|Democrat|110189
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|37|Morgan Osborne|Republican|32541
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|37|Karen Bass|Democrat|207039
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|38|Benjamin Campos|Republican|69807
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|38|Linda T. Sánchez|Democrat|145280
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|39|Edward R. Royce|Republican|145607
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|39|Jay Chen|Democrat|106360
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|40|Lucille Roybal-Allard|Democrat|73940
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|40|David Sanchez|Democrat|51613
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|41|John Tavaglione|Republican|72074
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|41|Mark Takano|Democrat|103578
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|42|Ken Calvert|Republican|130245
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|42|Michael Williamson|Democrat|84702
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|43|Maxine Waters|Democrat|143123
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|43|Bob Flores|Democrat|57771
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|44|Janice Hahn|Democrat|99909
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|44|Laura Richardson|Democrat|65989
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|45|John Campbell|Republican|171417
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|45|Sukhee Kang|Democrat|121814
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|46|Jerry Hayden|Republican|54121
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|46|Loretta Sanchez|Democrat|95694
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|47|Gary DeLong|Republican|99919
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|47|Alan Lowenthal|Democrat|130093
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|48|Dana Rohrabacher|Republican|177144
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|48|Ron Varasteh|Democrat|113358
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|49|Darrell E. Issa|Republican|159725
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|49|Jerry Tetalman|Democrat|114893
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|50|Duncan Hunter|Republican|174838
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|50|David B. Secor|Democrat|83455
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|51|Michael Crimmins|Republican|45464
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|51|Juan Vargas|Democrat|113934
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|52|Brian P. Bilbray|Republican|144459
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|52|Scott Peters|Democrat|151451
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|53|Nick Popaditch|Republican|103482
11/6/2012|CALIFORNIA|FOR UNITED STATES REPRESENTATIVE|53|Susan A. Davis|Democrat|164825
11/6/2012|COLORADO|FOR PRESIDENTIAL ELECTORS|||Republican|1185243
11/6/2012|COLORADO|FOR PRESIDENTIAL ELECTORS|||Democratic|1323101
11/6/2012|COLORADO|FOR PRESIDENTIAL ELECTORS|||Unaffiliated|2588
11/6/2012|COLORADO|FOR PRESIDENTIAL ELECTORS|||Libertarian|35545
11/6/2012|COLORADO|FOR PRESIDENTIAL ELECTORS|||Green|7508
11/6/2012|COLORADO|FOR PRESIDENTIAL ELECTORS|||American Constitution|6234
11/6/2012|COLORADO|FOR PRESIDENTIAL ELECTORS|||Peace and Freedom|5057
11/6/2012|COLORADO|FOR PRESIDENTIAL ELECTORS|||Justice|1262
11/6/2012|COLORADO|FOR PRESIDENTIAL ELECTORS|||We the People|791
11/6/2012|COLORADO|FOR PRESIDENTIAL ELECTORS|||America’s Party|679
11/6/2012|COLORADO|FOR PRESIDENTIAL ELECTORS|||Socialism and Liberation|317
11/6/2012|COLORADO|FOR PRESIDENTIAL ELECTORS|||Socialist|308
11/6/2012|COLORADO|FOR PRESIDENTIAL ELECTORS|||American Third Position|267
11/6/2012|COLORADO|FOR PRESIDENTIAL ELECTORS|||Objectivist|235
11/6/2012|COLORADO|FOR PRESIDENTIAL ELECTORS|||Socialist Workers|192
11/6/2012|COLORADO|FOR PRESIDENTIAL ELECTORS|||Socialist Equality|189
11/6/2012|COLORADO|FOR UNITED STATES REPRESENTATIVE|1|Danny Stroud|Republican|93217
11/6/2012|COLORADO|FOR UNITED STATES REPRESENTATIVE|1|Diana DeGette|Democrat|237579
11/6/2012|COLORADO|FOR UNITED STATES REPRESENTATIVE|1|Frank Atwood|Libertarian|12585
11/6/2012|COLORADO|FOR UNITED STATES REPRESENTATIVE|1|Gary Swing|Green|4829
11/6/2012|COLORADO|FOR UNITED STATES REPRESENTATIVE|2|Kevin Lundberg|Republican|162639
11/6/2012|COLORADO|FOR UNITED STATES REPRESENTATIVE|2|Jared Polis|Democrat|234758
11/6/2012|COLORADO|FOR UNITED STATES REPRESENTATIVE|2|Randy Luallin|Libertarian|13770
11/6/2012|COLORADO|FOR UNITED STATES REPRESENTATIVE|2|Susan P. Hall|Green|10413
11/6/2012|COLORADO|FOR UNITED STATES REPRESENTATIVE|3|Scott R. Tipton|Republican|185291
11/6/2012|COLORADO|FOR UNITED STATES REPRESENTATIVE|3|Sal Pace|Democrat|142619
11/6/2012|COLORADO|FOR UNITED STATES REPRESENTATIVE|3|Tisha T. Casida|Unaffiliated|11125
11/6/2012|COLORADO|FOR UNITED STATES REPRESENTATIVE|3|Gregory Gilman|Libertarian|8212
11/6/2012|COLORADO|FOR UNITED STATES REPRESENTATIVE|4|Cory Gardner|Republican|200006
11/6/2012|COLORADO|FOR UNITED STATES REPRESENTATIVE|4|Brandon Shaffer|Democrat|125800
11/6/2012|COLORADO|FOR UNITED STATES REPRESENTATIVE|4|Josh Gilliland|Libertarian|10682
11/6/2012|COLORADO|FOR UNITED STATES REPRESENTATIVE|4|Doug Aden|American Constitution|5848
11/6/2012|COLORADO|FOR UNITED STATES REPRESENTATIVE|5|Doug Lamborn|Republican|199639
11/6/2012|COLORADO|FOR UNITED STATES REPRESENTATIVE|5|Dave Anderson|Unaffiliated|53318
11/6/2012|COLORADO|FOR UNITED STATES REPRESENTATIVE|5|Jim Pirtle|Libertarian|22778
11/6/2012|COLORADO|FOR UNITED STATES REPRESENTATIVE|5|Misha Luzov|Green|18284
11/6/2012|COLORADO|FOR UNITED STATES REPRESENTATIVE|5|Kenneth R. Harvell|American Constitution|13212
11/6/2012|COLORADO|FOR UNITED STATES REPRESENTATIVE|6|Mike Coffman|Republican|163938
11/6/2012|COLORADO|FOR UNITED STATES REPRESENTATIVE|6|Joe Miklosi|Democrat|156937
11/6/2012|COLORADO|FOR UNITED STATES REPRESENTATIVE|6|Kathy Polhemus|Unaffiliated|13442
11/6/2012|COLORADO|FOR UNITED STATES REPRESENTATIVE|6|Patrick E. Provost|Libertarian|8597
11/6/2012|COLORADO|FOR UNITED STATES REPRESENTATIVE|7|Joe Coors|Republican|139066
11/6/2012|COLORADO|FOR UNITED STATES REPRESENTATIVE|7|Ed Perlmutter|Democrat|182460
11/6/2012|COLORADO|FOR UNITED STATES REPRESENTATIVE|7|Buck Bailey|Libertarian|9148
11/6/2012|COLORADO|FOR UNITED STATES REPRESENTATIVE|7|Douglas "Dayhorse" Campbell|American Constitution|10296
11/6/2012|CONNECTICUT|FOR PRESIDENTIAL ELECTORS|||Republican|634892
11/6/2012|CONNECTICUT|FOR PRESIDENTIAL ELECTORS|||Democratic|905083
11/6/2012|CONNECTICUT|FOR PRESIDENTIAL ELECTORS|||Independent|4971
11/6/2012|CONNECTICUT|FOR PRESIDENTIAL ELECTORS|||Libertarian|12340
11/6/2012|CONNECTICUT|FOR PRESIDENTIAL ELECTORS|||Write-in|918
11/6/2012|CONNECTICUT|FOR UNITED STATES SENATOR||Linda E. McMahon|Republican|604569
11/6/2012|CONNECTICUT|FOR UNITED STATES SENATOR||Linda E. McMahon|Independent|46520
11/6/2012|CONNECTICUT|FOR UNITED STATES SENATOR||Christopher S. Murphy|Democrat|792983
11/6/2012|CONNECTICUT|FOR UNITED STATES SENATOR||Christopher S. Murphy|Working Families|35778
11/6/2012|CONNECTICUT|FOR UNITED STATES SENATOR||Paul Passarelli|Libertarian|25045
11/6/2012|CONNECTICUT|FOR UNITED STATES SENATOR||Michael D. Adams|Write-in|388
11/6/2012|CONNECTICUT|FOR UNITED STATES SENATOR||Matthew Coleman|Write-in|6414
11/6/2012|CONNECTICUT|FOR UNITED STATES SENATOR||Jeff Russell|Write-in|40
11/6/2012|CONNECTICUT|FOR UNITED STATES SENATOR||John Traceski|Write-in|19
11/6/2012|CONNECTICUT|FOR UNITED STATES SENATOR||Michael Vasile|Write-in|8
11/6/2012|CONNECTICUT|FOR UNITED STATES REPRESENTATIVE|1|John Henry Decker|Republican|82321
